date,strategy_daily_pnl,,strategy_accumulated_pnl,,benchmark_daily_pnl,,benchmark_accumulated_pnl,,strategy_realized_pnl,benchmark_realized_pnl,strategy_unrealized_pnl,benchmark_unrealized_pnl
2018-03-01,-9.45,-9.450000000003456,-9.45,-9.450000000003456,0.05,4618.937644341703,0.05,4618.937644341703,0,0,-9.45,0.05
2018-03-02,-67.35,-66.44999999999928,-76.8,-75.90000000000273,-0.04,-9237.875288683612,0.01,-4618.937644341909,-52.45,0,-14.9,-0.04
2018-03-03,-57.6,-57.599999999999454,-134.4,-133.5000000000022,-0.04,-9237.875288683612,-0.03,-13856.812933025521,0,0,-57.6,-0.04
2018-03-04,-57.6,-57.599999999999454,-192,-191.10000000000164,-0.04,-9237.875288683612,-0.07,-23094.688221709133,0,0,-57.6,-0.04
2018-03-05,-19.7,-17.899999999999196,-211.7,-209.00000000000085,0.06,13856.812933025518,-0.01,-9237.875288683616,6.8,0,-26.5,0.06
2018-03-06,193.75,194.0499999999994,-17.95,-14.950000000001467,0.14,32332.563510392534,0.13,23094.68822170892,65.6,0,128.15,0.14
2018-03-07,-149.1,-156.4499999999999,-167.05,-171.40000000000137,-0.08,-18475.750577367224,0.05,4618.937644341695,-82.65,0,-66.45,-0.08
2018-03-08,29.1,33.29999999999945,-137.95,-138.10000000000193,0.02,4618.937644341908,0.07,9237.875288683603,13.45,0,15.65,0.02
2018-03-09,-18.85,-20.049999999999947,-156.8,-158.15000000000188,-0.03,-6928.406466512759,0.04,2309.468822170844,-37.4,0,18.55,-0.03
2018-03-10,-10.45,-10.449999999999818,-167.25,-168.6000000000017,-0.03,-6928.406466512759,0.01,-4618.937644341915,0,0,-10.45,-0.03
2018-03-11,-10.45,-10.449999999999818,-177.7,-179.05000000000152,-0.03,-6928.406466512759,-0.02,-11547.344110854674,0,0,-10.45,-0.03
2018-03-12,62.65,62.950000000000614,-115.05,-116.1000000000009,0.14,32332.563510392534,0.12,20785.219399537862,56.65,0,6,0.14
2018-03-13,-41,-43.10000000000012,-156.05,-159.200000000001,0.03,6928.406466512759,0.15,27713.62586605062,-12.6,0,-28.4,0.03
2018-03-14,-10.25,-9.350000000000065,-166.3,-168.5500000000011,-0.03,-6928.406466512759,0.12,20785.219399537862,-37.6,0,27.35,-0.03
2018-03-15,-41.4,-41.39999999999973,-207.7,-209.9500000000008,0.05,11547.344110854669,0.17,32332.56351039253,-46.15,0,4.75,0.05
2018-03-16,-140.2,-139.30000000000024,-347.9,-349.250000000001,0.03,6928.406466512554,0.2,39260.969976905086,-33.25,0,-106.95,0.03
2018-03-17,-131.4,-131.39999999999964,-479.3,-480.65000000000066,0.03,6928.406466512554,0.23,46189.37644341764,0,0,-131.4,0.03
2018-03-18,-131.4,-131.39999999999964,-610.7,-612.0500000000003,0.03,6928.406466512554,0.26,53117.782909930196,0,0,-131.4,0.03
2018-03-19,-133.35,-129.74999999999977,-744.05,-741.8000000000001,0.14,32332.563510392745,0.4,85450.34642032294,-82.4,0,-50.95,0.14
2018-03-20,-1.4,1.9000000000002188,-745.45,-739.8999999999999,0.01,2309.4688221708516,0.41,87759.81524249379,-7.45,0,6.05,0.01
2018-03-21,-42.95,-43.249999999999886,-788.4,-783.1499999999997,-0.09,-20785.219399538073,0.32,66974.59584295572,20.4,0,-63.35,-0.09
2018-03-22,-39.65,-38.74999999999978,-828.05,-821.8999999999995,-0.15,-34642.03233256359,0.17,32332.56351039213,-6,0,-33.65,-0.15